"id","fieldKey","name","dataType","standard","position"
"HrtsIFYkxjCszQI2Rxlc","contact.onboarding__licensed","Onboarding | Licensed","CHECKBOX","False","50"
"q9MmEcDr01pJlLO334JH","contact.onboarding__xcel_account_created","Onboarding | XCEL Account Created","CHECKBOX","False","450"
"ef87u0eDn6TXEPh92fbM","contact.onboarding__comp_level_mrfg","Onboarding | Comp Level (MRFG)","TEXT","False","500"
"PRPFFt9rbWciQRX5R2ye","contact.onboarding__cluster_applies","Onboarding | Cluster Applies","TEXT","False","300"
"JjKtVp5msKsaB9gIrKiF","contact.onboarding__xcel_paid","Onboarding | XCEL Paid","CHECKBOX","False","800"
"OlclNe3DpHXj2MVIJJJM","contact.upline_code_quility","Upline Code Quility","CHECKBOX","False","950"
"AVT26Sauj4eGeJzQGcGH","contact.xcel_due_date","XCEL Due Date","DATE","False","650"
"tbttl0jdYgNFeqi7Licg","contact.onboarding__xcel_started","Onboarding | XCEL Started","CHECKBOX","False","750"
"byYuPzDYowni2YrXO903","contact.xcel_enrollment_date","XCEL Enrollment Date","DATE","False","600"
"XZvDgZSAXBd9TgsCVQdM","contact.onboarding__xcel_temp_password","Onboarding | XCEL Temp Password","TEXT","False","550"
"DJET2KZt9Ym6zpXFJnna","contact.onboarding__producer_number","Onboarding | SureLC ID","TEXT","False","850"
"4a0V6WKqYNXYhCw9BLf2","contact.onboarding__xcel_username_email","Onboarding | XCEL Username (Email)","TEXT","False","500"
"3tFAgS0tMSUjkJNjXqNd","contact.onboarding__upline_email","Onboarding | Upline Email","TEXT","False","200"
"yXK9n3UBF0LdA2pzHQsi","contact.onboarding__upline_npn","Onboarding | Upline NPN","TEXT","False","325"
"IhZWa68rJ4zC337fJo6j","contact.onboarding__licensing_state","Onboarding | Licensing State","TEXT","False","150"
"rUZk7WzOjuhWaPjtooKo","contact.onboarding__quility_profile_created","Onboarding | Quility Profile Created","CHECKBOX","False","400"
"b57wV6CKG35SeTDLIr4A","contact.xcel_last_touch","XCEL Last Touch","DATE","False","700"
"HCLsdy4XpV4elDRZjmu0","contact.onboarding__equita_profile_created","Onboarding | Equita Producer Number","CHECKBOX","False","350"
"GM3pByQqhumadxL42TW4","contact.upline_code_equita","Upline Code Equita","CHECKBOX","False","900"
"AlXLQ8VFgdbDMzGJ1uOR","contact.onboarding__npn","Onboarding | NPN","TEXT","False","100"
"TobxJaosIfFMoD1q40dN","contact.upline_producer_id","Upline Producer ID","TEXT","False","350"
"H6JJZzCEGinqUyazbtXk","contact.upline_name","Upline Name","TEXT","False","400"
"UljRAabJTITzaElafGCK","contact.upline_highest_stage","Upline Highest Stage","TEXT","False","450"
"v9iRoqruOUc0kiM0KU7N","contact.comp_level_link","Comp Level Link","TEXT","False","550"
"lYqYDnPcbhYXaAQPtZEy","contact.custom_comp_level_notes","Custom Comp Level Notes","LARGE_TEXT","False","600"
"51I4406sucXEBJOpWPHq","contact.phone_number","Phone Number","TEXT","False","50"
"nYBXNNINEE6ynzsRIN6t","contact.phone_numer","Phone Numer","TEXT","False","50"
